Capa 0, Celda (0, 0) -> Capa 0, Celda (0, 1): S -> S (3)
Capa 0, Celda (0, 0) -> Capa 0, Celda (1, 0): S -> S (2)
Capa 0, Celda (0, 0) -> Capa 0, Celda (1, 1): S -> S (2)
Capa 0, Celda (0, 0) -> Capa 1, Celda (0, 0): S -> S (1)
Capa 0, Celda (0, 0) -> Capa 0, Celda (0, 1): E -> E (2)
Capa 0, Celda (0, 0) -> Capa 0, Celda (1, 0): E -> E (1)
Capa 0, Celda (0, 0) -> Capa 0, Celda (1, 1): E -> E (1)
Capa 0, Celda (0, 0) -> Capa 1, Celda (0, 0): E -> E (1)
Capa 0, Celda (0, 0) -> Capa 0, Celda (0, 1): I -> I (7)
Capa 0, Celda (0, 0) -> Capa 0, Celda (1, 0): I -> I (5)
Capa 0, Celda (0, 0) -> Capa 0, Celda (1, 1): I -> I (4)
Capa 0, Celda (0, 0) -> Capa 1, Celda (0, 0): I -> I (4)
Capa 0, Celda (0, 0) -> Capa 0, Celda (0, 1): R -> R (1)
Capa 0, Celda (0, 0) -> Capa 0, Celda (1, 0): R -> R (1)
Capa 0, Celda (0, 0) -> Capa 0, Celda (1, 1): R -> R (1)
Capa 0, Celda (0, 0) -> Capa 1, Celda (0, 0): R -> R (1)
Capa 0, Celda (0, 1) -> Capa 0, Celda (0, 0): S -> S (4)
Capa 0, Celda (0, 1) -> Capa 0, Celda (0, 2): S -> S (3)
Capa 0, Celda (0, 1) -> Capa 0, Celda (1, 0): S -> S (3)
Capa 0, Celda (0, 1) -> Capa 0, Celda (1, 1): S -> S (2)
Capa 0, Celda (0, 1) -> Capa 0, Celda (1, 2): S -> S (2)
Capa 0, Celda (0, 1) -> Capa 1, Celda (0, 1): S -> S (1)
Capa 0, Celda (0, 1) -> Capa 0, Celda (0, 0): E -> E (5)
Capa 0, Celda (0, 1) -> Capa 0, Celda (0, 2): E -> E (4)
Capa 0, Celda (0, 1) -> Capa 0, Celda (1, 0): E -> E (3)
Capa 0, Celda (0, 1) -> Capa 0, Celda (1, 1): E -> E (3)
Capa 0, Celda (0, 1) -> Capa 0, Celda (1, 2): E -> E (2)
Capa 0, Celda (0, 1) -> Capa 1, Celda (0, 1): E -> E (2)
Capa 0, Celda (0, 1) -> Capa 0, Celda (0, 0): I -> I (6)
Capa 0, Celda (0, 1) -> Capa 0, Celda (0, 2): I -> I (4)
Capa 0, Celda (0, 1) -> Capa 0, Celda (1, 0): I -> I (4)
Capa 0, Celda (0, 1) -> Capa 0, Celda (1, 1): I -> I (3)
Capa 0, Celda (0, 1) -> Capa 0, Celda (1, 2): I -> I (2)
Capa 0, Celda (0, 1) -> Capa 1, Celda (0, 1): I -> I (2)
Capa 0, Celda (0, 1) -> Capa 0, Celda (0, 0): R -> R (0)
Capa 0, Celda (0, 1) -> Capa 0, Celda (0, 2): R -> R (0)
Capa 0, Celda (0, 1) -> Capa 0, Celda (1, 0): R -> R (0)
Capa 0, Celda (0, 1) -> Capa 0, Celda (1, 1): R -> R (0)
Capa 0, Celda (0, 1) -> Capa 0, Celda (1, 2): R -> R (0)
Capa 0, Celda (0, 1) -> Capa 1, Celda (0, 1): R -> R (0)
Capa 0, Celda (0, 2) -> Capa 0, Celda (0, 1): S -> S (2)
Capa 0, Celda (0, 2) -> Capa 0, Celda (1, 1): S -> S (2)
Capa 0, Celda (0, 2) -> Capa 0, Celda (1, 2): S -> S (1)
Capa 0, Celda (0, 2) -> Capa 1, Celda (0, 2): S -> S (1)
Capa 0, Celda (0, 2) -> Capa 0, Celda (0, 1): E -> E (4)
Capa 0, Celda (0, 2) -> Capa 0, Celda (1, 1): E -> E (3)
Capa 0, Celda (0, 2) -> Capa 0, Celda (1, 2): E -> E (3)
Capa 0, Celda (0, 2) -> Capa 1, Celda (0, 2): E -> E (2)
Capa 0, Celda (0, 2) -> Capa 0, Celda (0, 1): I -> I (8)
Capa 0, Celda (0, 2) -> Capa 0, Celda (1, 1): I -> I (6)
Capa 0, Celda (0, 2) -> Capa 0, Celda (1, 2): I -> I (5)
Capa 0, Celda (0, 2) -> Capa 1, Celda (0, 2): I -> I (4)
Capa 0, Celda (0, 2) -> Capa 0, Celda (0, 1): R -> R (1)
Capa 0, Celda (0, 2) -> Capa 0, Celda (1, 1): R -> R (1)
Capa 0, Celda (0, 2) -> Capa 0, Celda (1, 2): R -> R (0)
Capa 0, Celda (0, 2) -> Capa 1, Celda (0, 2): R -> R (0)
Capa 0, Celda (1, 0) -> Capa 0, Celda (0, 0): S -> S (5)
Capa 0, Celda (1, 0) -> Capa 0, Celda (0, 1): S -> S (4)
Capa 0, Celda (1, 0) -> Capa 0, Celda (1, 1): S -> S (3)
Capa 0, Celda (1, 0) -> Capa 0, Celda (2, 0): S -> S (2)
Capa 0, Celda (1, 0) -> Capa 0, Celda (2, 1): S -> S (2)
